name,n_mutants,spearman,ndcg,top_recall_10pct,mean_plddt
KCNE1_HUMAN_Muhammad_2023_expression,2339,0.2614565137023427,0.9040834081930395,0.1752136752136752,68.3093032836914
KCNE1_HUMAN_Muhammad_2023_function,2315,0.34827754551061035,0.9398688474348084,0.14655172413793102,68.3093032836914
KCNH2_HUMAN_Kozek_2020,200,0.6641386034650868,0.18527110198478822,0.35,61.26321029663086
KCNJ2_MOUSE_Coyote-Maestas_2022_function,6963,0.22280065819644287,0.89762239159142,0.10473457675753228,80.52477264404297
KCNJ2_MOUSE_Coyote-Maestas_2022_surface,6917,0.35323805518888407,0.8025540444924942,0.12716763005780346,80.4336929321289
KKA2_KLEPN_Melnikov_2014,4960,0.5475959585018187,0.8008780921748041,0.19556451612903225,94.40950775146484
LGK_LIPST_Klesmith_2015,7890,0.4575592375293008,0.9600343959830786,0.16983523447401774,97.27772521972656
LYAM1_HUMAN_Elazar_2016,359,0.4210455811096929,0.7887433918524294,0.3333333333333333,85.28120422363281
MAFG_MOUSE_Tsuboyama_2023_1K1V,1429,0.8024415546582425,0.9563065785675722,0.43356643356643354,94.05194854736328
MBD11_ARATH_Tsuboyama_2023_6ACV,2116,0.7922964423532534,0.9374808238509986,0.38207547169811323,83.3412094116211
MET_HUMAN_Estevam_2023,5393,0.5868317365571337,0.9238353530527249,0.15555555555555556,90.19418334960938
MK01_HUMAN_Brenan_2016,6809,0.2140119395782398,0.7585273210010869,0.08663729809104258,90.79547119140625
MLAC_ECOLI_MacRae_2023,4007,0.3277104839584335,0.96882306901972,0.12219451371571072,91.4463119506836
MSH2_HUMAN_Jia_2020,16749,0.35659560051199257,0.8635734493987218,0.12119402985074627,87.88512420654297
MTH3_HAEAE_RockahShmuel_2015,1777,0.534722508956093,0.8948271081690202,0.15168539325842698,93.53160858154297
MTHR_HUMAN_Weile_2021,12464,0.38223538509672716,0.9680118412679585,0.12750601443464316,87.88263702392578
MYO3_YEAST_Tsuboyama_2023_2BTT,3297,0.6868215325040196,0.9097456268480426,0.4393939393939394,96.45196533203125
NCAP_I34A1_Doud_2015,9462,0.2796212678638319,0.8022149459642781,0.133051742344245,86.4947280883789
NKX31_HUMAN_Tsuboyama_2023_2L9R,2482,0.653754030614333,0.9553032665133089,0.44176706827309237,92.04705047607422
NPC1_HUMAN_Erwood_2022_HEK293T,637,0.6689788044467848,0.9567481837718979,0.28125,86.25049591064453
NPC1_HUMAN_Erwood_2022_RPE1,63,0.7800979262672812,0.9779659138113628,0.42857142857142855,86.25049591064453
NRAM_I33A0_Jiang_2016,298,0.5766327502539933,0.9434293118364765,0.23333333333333334,92.3857421875
NUD15_HUMAN_Suiter_2020,2844,0.663397541365759,0.9396750227136943,0.19298245614035087,95.50664520263672
NUSA_ECOLI_Tsuboyama_2023_1WCL,2028,0.8213064101412882,0.9277324461863192,0.3054187192118227,95.7746353149414
NUSG_MYCTU_Tsuboyama_2023_2MI6,1380,0.6858985456030099,0.9315274723497311,0.2536231884057971,91.931640625
