name,n_mutants,spearman,ndcg,top_recall_10pct,mean_plddt,fold,p0,T
Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,3344,0.4393312099061529,0.8541067710630896,0.2417910447761194,86.9495620727539,2,40.0,5.0
Q53Z42_HUMAN_McShan_2019_expression,3344,0.4948348663199049,0.7488596203516245,0.28955223880597014,86.9495620727539,1,40.0,5.0
Q59976_STRSQ_Romero_2015,2999,0.388850117066682,0.912198082106706,0.14,93.28082275390625,0,40.0,5.0
Q6WV13_9MAXI_Somermeyer_2022,31401,0.44360310793237445,,0.14772365488697867,94.56251525878906,3,40.0,5.0
Q837P4_ENTFA_Meier_2023,697,0.5019122855017443,0.9063577078850491,0.12857142857142856,92.9349365234375,2,40.0,5.0
Q837P5_ENTFA_Meier_2023,747,0.5043284491207076,0.8964575843460756,0.06666666666666667,93.32589721679688,3,40.0,5.0
Q8WTC7_9CNID_Somermeyer_2022,33510,0.3930005386167162,,0.1769621008654133,96.57878112792969,3,40.0,5.0
R1AB_SARS2_Flynn_2022,5725,0.324577391306964,0.955915574119229,0.09947643979057591,96.46104431152344,1,40.0,5.0
RAD_ANTMA_Tsuboyama_2023_2CJJ,912,0.684596146443768,0.9204642995529045,0.2608695652173913,96.37091827392578,0,40.0,5.0
RAF1_HUMAN_Zinkus-Boltz_2019,297,0.2745010175853868,0.933043908221357,0.1,66.6265640258789,0,40.0,5.0
RASH_HUMAN_Bandaru_2017,3134,0.5624572592317882,0.9143785401662379,0.14012738853503184,90.69757843017578,2,40.0,5.0
RASK_HUMAN_Weng_2022_abundance,26012,0.38583796608246146,0.953062626655343,0.17448116833205227,91.29084777832031,2,40.0,5.0
RASK_HUMAN_Weng_2022_binding-DARPin_K55,24873,0.6509185327584759,0.9809088074529861,0.2604501607717042,91.29084777832031,0,40.0,5.0
RBP1_HUMAN_Tsuboyama_2023_2KWH,1332,0.6218095480679721,0.9469485099698971,0.40298507462686567,90.16635131835938,3,40.0,5.0
RCD1_ARATH_Tsuboyama_2023_5OAO,1261,0.6026478632438735,0.9165343859146567,0.2283464566929134,91.55631256103516,3,40.0,5.0
RCRO_LAMBD_Tsuboyama_2023_1ORC,2278,0.6152522127069153,0.9386630498641056,0.3815789473684211,96.88109588623047,1,40.0,5.0
RD23A_HUMAN_Tsuboyama_2023_1IFY,1019,0.6394109175180412,0.9313101312350868,0.3627450980392157,92.13726806640625,3,40.0,5.0
RDRP_I33A0_Li_2023,12003,0.17062709617585853,0.8887431401177698,0.14321398834304747,91.9081802368164,3,40.0,5.0
REV_HV1H2_Fernandes_2016,2147,0.41701838303173494,0.9408065464649834,0.13023255813953488,73.66948699951172,2,40.0,5.0
RFAH_ECOLI_Tsuboyama_2023_2LCL,1326,0.27191138527831327,0.8483944936346759,0.22556390977443608,94.97654724121094,0,40.0,5.0
RL20_AQUAE_Tsuboyama_2023_1GYZ,1461,0.7905304073479763,0.9669050167604761,0.2857142857142857,91.87373352050781,3,40.0,5.0
RL40A_YEAST_Mavor_2016,1253,0.6344783659043204,0.9693685884791737,0.21428571428571427,93.58695983886719,2,40.0,5.0
RL40A_YEAST_Roscoe_2013,1195,0.7015896009342413,0.9898665052288079,0.24166666666666667,93.58695983886719,1,40.0,5.0
RL40A_YEAST_Roscoe_2014,1380,0.6576908150207929,0.985884325883736,0.10144927536231885,93.58695983886719,3,40.0,5.0
RNC_ECOLI_Weeks_2023,4277,0.30200175899041537,0.9742539770663742,0.12850467289719625,94.75788116455078,1,40.0,5.0
RPC1_BP434_Tsuboyama_2023_1R69,1459,0.7397871110577394,0.927452728045569,0.3150684931506849,97.82327270507812,0,40.0,5.0
RPC1_LAMBD_Li_2019_high-expression,351,0.5232872682872682,0.9092925030357326,0.1111111111111111,84.93202209472656,4,40.0,5.0
RPC1_LAMBD_Li_2019_low-expression,351,0.584534632034632,0.9037892491445342,0.25,84.93202209472656,0,40.0,5.0
RS15_GEOSE_Tsuboyama_2023_1A32,1195,0.6317059472085101,0.9604816077685481,0.30833333333333335,97.21444702148438,4,40.0,5.0
S22A1_HUMAN_Yee_2023_abundance,9803,0.4922171837920946,0.9160404010572608,0.19164118246687054,84.2315902709961,4,40.0,5.0
S22A1_HUMAN_Yee_2023_activity,10094,0.416405568069112,0.9274706464368755,0.14653465346534653,84.20721435546875,1,40.0,5.0
SAV1_MOUSE_Tsuboyama_2023_2YSB,965,0.584404480254168,0.9079385563387637,0.25773195876288657,85.69256591796875,0,40.0,5.0
SBI_STAAM_Tsuboyama_2023_2JVG,1025,0.5981681019112822,0.9230972903855481,0.3300970873786408,94.14786529541016,1,40.0,5.0
SC6A4_HUMAN_Young_2021,11576,0.33954248517567354,0.8856632322251898,0.13385146804835923,82.24647521972656,3,40.0,5.0
SCIN_STAAR_Tsuboyama_2023_2QFF,1212,0.4888549922031564,0.8745175700328525,0.22131147540983606,97.07656860351562,2,40.0,5.0
SCN5A_HUMAN_Glazer_2019,224,0.3615913824027787,,0.21739130434782608,69.37393951416016,0,40.0,5.0
SDA_BACSU_Tsuboyama_2023_1PV0,2770,0.703200663983736,0.9421992180539138,0.5270758122743683,94.91272735595703,4,40.0,5.0
SERC_HUMAN_Xie_2023,1914,0.3337789546595482,0.9661112681144146,0.10416666666666667,97.85810852050781,0,40.0,5.0
SHOC2_HUMAN_Kwon_2022,10972,0.31394782551891526,0.9077019495487211,0.12568306010928962,88.02391052246094,1,40.0,5.0
SOX30_HUMAN_Tsuboyama_2023_7JJK,1010,0.6539451776564611,0.9211313707019431,0.1485148514851485,86.73104858398438,3,40.0,5.0
SPA_STAAU_Tsuboyama_2023_1LP1,2105,0.514967920124482,0.8923531079994166,0.3127962085308057,94.45036315917969,3,40.0,5.0
SPG1_STRSG_Olson_2014,536962,0.7874259509344549,0.9598191273310883,0.39484514963592005,66.10343933105469,2,40.0,5.0
SPG1_STRSG_Wu_2016,149360,0.2973527146319792,0.49251508774245395,0.37392876272094266,66.10343933105469,4,40.0,5.0
SPG2_STRSG_Tsuboyama_2023_5UBS,1451,0.764256546963317,0.8901793590745298,0.2054794520547945,94.88750457763672,2,40.0,5.0
SPIKE_SARS2_Starr_2020_binding,3802,0.5102668536105189,0.9621722722298114,0.1994750656167979,82.03885650634766,4,40.0,5.0
SPIKE_SARS2_Starr_2020_expression,3798,0.5866401780513196,0.9355117311384792,0.2236842105263158,82.03885650634766,0,40.0,5.0
SPTN1_CHICK_Tsuboyama_2023_1TUD,3201,0.5760329313274798,0.8734414873478628,0.367601246105919,95.44417572021484,1,40.0,5.0
SQSTM_MOUSE_Tsuboyama_2023_2RRU,707,0.6438290139778166,0.9197272508911928,0.29577464788732394,91.72450256347656,4,40.0,5.0
SR43C_ARATH_Tsuboyama_2023_2N88,1583,0.7609187027173486,0.9329720784099741,0.36477987421383645,93.91854095458984,1,40.0,5.0
SRBS1_HUMAN_Tsuboyama_2023_2O2W,1556,0.7130656905836347,0.9212533825821844,0.21794871794871795,95.55416870117188,3,40.0,5.0
SRC_HUMAN_Ahler_2019,3372,0.6067531417843115,0.7014739679702262,0.1893491124260355,83.25090789794922,0,40.0,5.0
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,3637,0.5249055965334253,0.7863681617803756,0.17032967032967034,83.21932983398438,4,40.0,5.0
SRC_HUMAN_Nguyen_2022,3366,0.5096926391044038,0.8653082824453926,0.14540059347181009,83.21932983398438,2,40.0,5.0
SUMO1_HUMAN_Weile_2017,1700,0.5634368642057132,0.9334222838040257,0.20588235294117646,76.82415771484375,1,40.0,5.0
SYUA_HUMAN_Newberry_2020,2497,0.3352151315334637,0.9785125641832694,0.068,76.9334945678711,0,40.0,5.0
TADBP_HUMAN_Bolognesi_2019,1196,0.5047237326183737,0.964919882711393,0.4583333333333333,64.4343490600586,2,40.0,5.0
TAT_HV1BR_Fernandes_2016,1577,0.5190468632595372,0.9251351730795354,0.15822784810126583,75.85243225097656,4,40.0,5.0
TCRG1_MOUSE_Tsuboyama_2023_1E0L,1058,0.5698364881699434,0.9024988412673643,0.08490566037735849,81.7918930053711,2,40.0,5.0
THO1_YEAST_Tsuboyama_2023_2WQG,1279,0.6298502614920695,0.9061593973374481,0.3046875,84.43780517578125,2,40.0,5.0
